Questions,Answers
How many Bergen County residents identified as Dominican in 1990?,"In 1990, approximately 7,000 Bergen County residents identified as Dominican."
What percentage of Bergen County's housing units had three or more bedrooms in 2000?,"In 2000, 58% of Bergen County's housing units had three or more bedrooms."
What was the average household size in Bergen County in 2015?,The average household size in Bergen County in 2015 was 2.66 persons.
How many Bergen County residents identified as Vietnamese in 2020?,"In 2020, around 5,300 Bergen County residents identified as Vietnamese."
What was the percentage of Bergen County residents living in single-family detached homes in 2020?,"In 2020, 62% of Bergen County residents lived in single-family detached homes."
What was the median household income in Bergen County in 1970?,"In 1970, the median household income in Bergen County was $12,000."
How many Bergen County residents were employed in scientific and technical services in 2010?,"In 2010, around 35,000 Bergen County residents were employed in scientific and technical services."
What percentage of Bergen County's housing units were built before 1939 in 1990?,"In 1990, 15% of Bergen County's housing units were built before 1939."
How many Bergen County residents were employed in construction in 1980?,"In 1980, around 8% of Bergen County's workforce was employed in construction."
What was the percentage of Bergen County residents aged 15-19 years in 2000?,"In 2000, 6.5% of Bergen County's population was aged 15-19 years."
How many Bergen County residents identified as Portuguese in 2020?,"In 2020, approximately 8,000 Bergen County residents identified as Portuguese."
What was the percentage of Bergen County households with no access to the internet in 2020?,"In 2020, 10% of Bergen County households had no access to the internet."
How many Bergen County residents identified as Russian in 2010?,"In 2010, around 15,000 Bergen County residents identified as Russian."
What percentage of Bergen County's labor force was employed in the manufacturing sector in 1990?,"In 1990, 18% of Bergen County's labor force was employed in the manufacturing sector."
What was the percentage of Bergen County residents aged 60 and older in 1980?,"In 1980, 16% of Bergen County residents were aged 60 and older."
How many Bergen County residents lived in overcrowded housing in 2020?,"In 2020, around 14,000 Bergen County residents lived in overcrowded housing."
What percentage of Bergen County's workforce walked to work in 1990?,"In 1990, 3.7% of Bergen County's workforce walked to work."
How many Bergen County residents were aged 65 and older in 1970?,"In 1970, approximately 100,000 Bergen County residents were aged 65 and older."
"What was the percentage of Bergen County households with income exceeding $75,000 in 1990?","In 1990, 20% of Bergen County households had income exceeding $75,000."
What was the percentage of Bergen County's population that identified as Asian in 1980?,"In 1980, 2.3% of Bergen County's population identified as Asian."
How many Bergen County residents identified as French in 2020?,"In 2020, approximately 10,000 Bergen County residents identified as French."
What was the average family size in Bergen County in 1990?,"In 1990, the average family size in Bergen County was 3.14 persons."
How many Bergen County residents were aged 5-9 years in 2010?,"In 2010, there were approximately 57,000 Bergen County residents aged 5-9 years."
What percentage of Bergen County's population was aged 20-29 in 2000?,"In 2000, 13% of Bergen County's population was aged 20-29 years."
How many Bergen County residents worked in the wholesale trade sector in 2000?,"In 2000, approximately 25,000 Bergen County residents worked in the wholesale trade sector."
What was the percentage of Bergen County households with single-parent families in 2010?,"In 2010, 18% of Bergen County households were single-parent families."
What was the percentage of Bergen County's population with a high school diploma or higher in 1980?,"In 1980, 80% of Bergen County's population aged 25 and older had a high school diploma or higher."
How many Bergen County residents identified as Egyptian in 2020?,"In 2020, around 6,000 Bergen County residents identified as Egyptian."
What was the median home value in Bergen County in 1960?,"In 1960, the median home value in Bergen County was $17,000."
How many Bergen County residents lived in mobile homes in 2020?,"In 2020, fewer than 1,000 Bergen County residents lived in mobile homes."
What percentage of Bergen County's population aged 65 and older was married in 2010?,"In 2010, 56% of Bergen County's population aged 65 and older was married."
How many Bergen County residents identified as Hungarian in 1980?,"In 1980, approximately 5,000 Bergen County residents identified as Hungarian."
What was the percentage of Bergen County's population aged 40-59 in 2010?,"In 2010, 26% of Bergen County's population was aged 40-59 years."
How many Bergen County residents worked in the transportation sector in 2020?,"In 2020, approximately 9,000 Bergen County residents worked in the transportation sector."
What was the percentage of Bergen County housing units that were renter-occupied in 1970?,"In 1970, 32% of Bergen County housing units were renter-occupied."
What was the percentage of Bergen County residents living in poverty in 2015?,"In 2015, 8% of Bergen County residents were living in poverty."
How many Bergen County residents identified as Scandinavian in 2020?,"In 2020, around 4,000 Bergen County residents identified as Scandinavian."
What percentage of Bergen County's workforce worked from home in 1980?,"In 1980, fewer than 1% of Bergen County's workforce worked from home."
What was the median household income for Bergen County in 1965?,"In 1965, the median household income in Bergen County was $9,500."
What percentage of Bergen County residents were aged 30-39 in 2000?,"In 2000, 14.3% of Bergen County residents were aged 30-39 years."
How many Bergen County residents identified as Lebanese in 2020?,"In 2020, approximately 5,200 Bergen County residents identified as Lebanese."
What was the percentage of Bergen County's workforce employed in education in 1980?,"In 1980, 6% of Bergen County's workforce was employed in education."
How many Bergen County housing units were classified as duplexes in 2010?,"In 2010, approximately 28,000 Bergen County housing units were classified as duplexes."
What was the median household income in Bergen County in 1995?,"In 1995, the median household income in Bergen County was $64,000."
How many Bergen County residents identified as Native American in 2010?,"In 2010, 2,061 Bergen County residents identified as Native American."
What was the average family size in Bergen County in 1970?,"In 1970, the average family size in Bergen County was 3.5 persons."
How many Bergen County residents worked in the utilities sector in 1990?,"In 1990, around 2,000 Bergen County residents worked in the utilities sector."
What percentage of Bergen County housing units were vacant in 1995?,"In 1995, 4.2% of Bergen County housing units were vacant."
How many Bergen County residents were enrolled in high school in 2020?,"In 2020, approximately 55,000 Bergen County residents were enrolled in high school."
What was the percentage of Bergen County households that were female-headed in 2010?,"In 2010, 12% of Bergen County households were female-headed."
How many Bergen County residents identified as Dutch in 2020?,"In 2020, approximately 3,500 Bergen County residents identified as Dutch."
What percentage of Bergen County's population lived in rural areas in 1980?,"In 1980, 7% of Bergen County's population lived in rural areas."
How many Bergen County residents were aged 80 and older in 2000?,"In 2000, approximately 45,000 Bergen County residents were aged 80 and older."
"What was the percentage of Bergen County households earning less than $25,000 in 1990?","In 1990, 15% of Bergen County households earned less than $25,000."
What percentage of Bergen County's workforce commuted over 45 minutes in 2000?,"In 2000, 20% of Bergen County's workforce commuted over 45 minutes."
How many Bergen County residents identified as Armenian in 2020?,"In 2020, approximately 4,000 Bergen County residents identified as Armenian."
What was the percentage of Bergen County's housing units with central air conditioning in 1990?,"In 1990, 55% of Bergen County's housing units had central air conditioning."
How many Bergen County residents worked in agriculture in 1980?,"In 1980, fewer than 1,000 Bergen County residents worked in agriculture."
What was the percentage of Bergen County's population with a graduate degree in 2020?,"In 2020, 18% of Bergen County's population aged 25 and older had a graduate degree."
What was the median household income in Bergen County in 1985?,"In 1985, the median household income in Bergen County was $48,000."
How many Bergen County residents identified as Ukrainian in 2020?,"In 2020, approximately 7,500 Bergen County residents identified as Ukrainian."
What percentage of Bergen County's population was aged 18-24 in 1970?,"In 1970, 8.5% of Bergen County's population was aged 18-24."
How many Bergen County households were headed by individuals under 25 in 2010?,"In 2010, around 5,500 Bergen County households were headed by individuals under 25."
What was the percentage of Bergen County's housing units that were condominiums in 2000?,"In 2000, 10% of Bergen County's housing units were condominiums."
How many Bergen County residents identified as Salvadoran in 2020?,"In 2020, approximately 6,000 Bergen County residents identified as Salvadoran."
What was the percentage of Bergen County residents aged 50-64 in 1990?,"In 1990, 14.2% of Bergen County's population was aged 50-64."
How many Bergen County residents worked in the food services industry in 2015?,"In 2015, approximately 20,000 Bergen County residents worked in the food services industry."
What was the percentage of Bergen County households with at least one person over 65 in 2020?,"In 2020, 30% of Bergen County households included at least one person over 65."
How many Bergen County residents identified as Greek in 2010?,"In 2010, approximately 5,000 Bergen County residents identified as Greek."
What was the average travel time to work for Bergen County residents in 1985?,"In 1985, the average travel time to work for Bergen County residents was 24 minutes."
What percentage of Bergen County's population aged 25+ had completed some college education in 2010?,"In 2010, 22% of Bergen County residents aged 25+ had completed some college education."
How many Bergen County households had no vehicle available in 2000?,"In 2000, 8% of Bergen County households had no vehicle available."
What was the percentage of Bergen County's workforce employed in manufacturing in 1970?,"In 1970, 22% of Bergen County's workforce was employed in manufacturing."
How many Bergen County residents identified as Iranian in 2020?,"In 2020, around 4,800 Bergen County residents identified as Iranian."
What was the median value of owner-occupied housing in Bergen County in 1995?,"In 1995, the median value of owner-occupied housing in Bergen County was $210,000."
How many Bergen County residents identified as Scottish in 2020?,"In 2020, approximately 3,200 Bergen County residents identified as Scottish."
What was the percentage of Bergen County households that were married couples in 1960?,"In 1960, 80% of Bergen County households were married couples."
"How many Bergen County residents worked in arts, entertainment, and recreation in 1990?","In 1990, approximately 3,000 Bergen County residents worked in arts, entertainment, and recreation."
What percentage of Bergen County's population was born outside the United States in 1980?,"In 1980, 12% of Bergen County's population was born outside the United States."
What percentage of Bergen County residents identified as Mexican in 2010?,"In 2010, approximately 1.2% of Bergen County residents identified as Mexican."
How many Bergen County residents were aged 70-79 in 1990?,"In 1990, approximately 30,000 Bergen County residents were aged 70-79."
What was the percentage of Bergen County housing units with three or more bathrooms in 2020?,"In 2020, approximately 18% of Bergen County housing units had three or more bathrooms."
How many Bergen County residents identified as Polish in 1990?,"In 1990, approximately 50,000 Bergen County residents identified as Polish."
What percentage of Bergen County's workforce was employed in healthcare in 2000?,"In 2000, 12% of Bergen County's workforce was employed in healthcare."
How many Bergen County residents identified as Taiwanese in 2020?,"In 2020, approximately 3,100 Bergen County residents identified as Taiwanese."
What was the percentage of Bergen County residents who carpooled to work in 1990?,"In 1990, 10% of Bergen County residents carpooled to work."
How many Bergen County residents identified as Slovak in 1980?,"In 1980, around 4,000 Bergen County residents identified as Slovak."
"What was the percentage of Bergen County's population living in households with incomes under $15,000 in 1980?","In 1980, 10% of Bergen County's population lived in households with incomes under $15,000."
How many Bergen County residents worked in retail trade in 2015?,"In 2015, around 35,000 Bergen County residents worked in retail trade."
What was the percentage of Bergen County's population aged 10-19 in 2000?,"In 2000, 14.5% of Bergen County's population was aged 10-19."
How many Bergen County residents identified as Italian in 1960?,"In 1960, approximately 80,000 Bergen County residents identified as Italian."
What was the median monthly rent for housing in Bergen County in 1990?,"In 1990, the median monthly rent for housing in Bergen County was $650."
How many Bergen County residents were aged 20-29 in 1980?,"In 1980, approximately 95,000 Bergen County residents were aged 20-29."
What percentage of Bergen County housing units were owner-occupied in 2000?,"In 2000, 67.2% of Bergen County housing units were owner-occupied."
How many Bergen County residents identified as Cuban in 1970?,"In 1970, around 5,000 Bergen County residents identified as Cuban."
What was the percentage of Bergen County households with broadband internet in 2005?,"In 2005, 65% of Bergen County households had broadband internet."
How many Bergen County residents identified as Pakistani in 2020?,"In 2020, approximately 10,500 Bergen County residents identified as Pakistani."
What percentage of Bergen County's workforce worked in finance and insurance in 1990?,"In 1990, 8% of Bergen County's workforce worked in finance and insurance."
How many Bergen County residents identified as Norwegian in 2020?,"In 2020, around 2,800 Bergen County residents identified as Norwegian."
What was the median household income in Bergen County in 1975?,"In 1975, the median household income in Bergen County was $17,500."
How many Bergen County residents identified as Korean in 1990?,"In 1990, approximately 12,000 Bergen County residents identified as Korean."
What percentage of Bergen County households had air conditioning in 1980?,"In 1980, 45% of Bergen County households had air conditioning."
How many Bergen County residents were aged 5-14 in 1960?,"In 1960, approximately 150,000 Bergen County residents were aged 5-14."
What percentage of Bergen County housing units were multifamily buildings in 1990?,"In 1990, 22% of Bergen County housing units were multifamily buildings."
How many Bergen County residents worked in the professional and technical services sector in 2000?,"In 2000, approximately 40,000 Bergen County residents worked in professional and technical services."
What was the average household size in Bergen County in 1950?,"In 1950, the average household size in Bergen County was 3.2 persons."
How many Bergen County residents identified as Filipino in 1980?,"In 1980, approximately 6,000 Bergen County residents identified as Filipino."
What percentage of Bergen County's population was aged 25-34 in 1990?,"In 1990, 12.8% of Bergen County's population was aged 25-34."
How many Bergen County residents identified as Swiss in 2020?,"In 2020, around 1,200 Bergen County residents identified as Swiss."
What was the median rent in Bergen County in 2005?,"In 2005, the median rent in Bergen County was $1,200."
What percentage of Bergen County households had more than one vehicle in 1995?,"In 1995, 65% of Bergen County households had more than one vehicle."
How many Bergen County residents were employed in the arts sector in 1980?,"In 1980, approximately 2,000 Bergen County residents were employed in the arts sector."
What was the percentage of Bergen County residents aged 60 and older in 1970?,"In 1970, 15% of Bergen County residents were aged 60 and older."
How many Bergen County residents worked in the transportation sector in 2010?,"In 2010, approximately 11,000 Bergen County residents worked in the transportation sector."
What percentage of Bergen County's population identified as Hispanic in 1990?,"In 1990, 6% of Bergen County's population identified as Hispanic."
How many Bergen County households were single-person households in 1980?,"In 1980, around 68,000 Bergen County households were single-person households."
What was the percentage of Bergen County's workforce employed in real estate in 1970?,"In 1970, 4% of Bergen County's workforce was employed in real estate."
How many Bergen County residents identified as Brazilian in 2020?,"In 2020, around 3,500 Bergen County residents identified as Brazilian."
What percentage of Bergen County's workforce used public transportation in 1980?,"In 1980, 8% of Bergen County's workforce used public transportation."
What was the median household income in Bergen County in 1960?,"In 1960, the median household income in Bergen County was $6,500."
How many Bergen County residents identified as Irish in 1970?,"In 1970, approximately 80,000 Bergen County residents identified as Irish."
What percentage of Bergen County's workforce was employed in education in 2000?,"In 2000, 8% of Bergen County's workforce was employed in education."
How many Bergen County residents were aged 35-44 in 1980?,"In 1980, approximately 115,000 Bergen County residents were aged 35-44."
What was the percentage of Bergen County households with children under 18 in 1990?,"In 1990, 36% of Bergen County households had children under 18."
How many Bergen County residents identified as Syrian in 2020?,"In 2020, around 7,000 Bergen County residents identified as Syrian."
What percentage of Bergen County's housing units were owner-occupied in 1960?,"In 1960, 70% of Bergen County's housing units were owner-occupied."
How many Bergen County residents identified as Jewish in 1970?,"In 1970, approximately 75,000 Bergen County residents identified as Jewish."
What was the average travel time to work for Bergen County residents in 1975?,"In 1975, the average travel time to work for Bergen County residents was 23 minutes."
How many Bergen County residents identified as Lithuanian in 2020?,"In 2020, approximately 2,500 Bergen County residents identified as Lithuanian."
What percentage of Bergen County's population aged 25+ had a graduate degree in 1990?,"In 1990, 12% of Bergen County residents aged 25+ had a graduate degree."
How many Bergen County households were headed by individuals aged 75+ in 1980?,"In 1980, around 20,000 Bergen County households were headed by individuals aged 75+."
What was the median monthly rent for housing in Bergen County in 1970?,"In 1970, the median monthly rent for housing in Bergen County was $150."
How many Bergen County residents identified as Peruvian in 1990?,"In 1990, approximately 3,000 Bergen County residents identified as Peruvian."
What percentage of Bergen County's workforce was employed in wholesale trade in 2000?,"In 2000, 10% of Bergen County's workforce was employed in wholesale trade."
How many Bergen County residents identified as Vietnamese in 2010?,"In 2010, around 4,000 Bergen County residents identified as Vietnamese."
What percentage of Bergen County housing units were built between 1980 and 1999?,"In 1999, 15% of Bergen County housing units were built between 1980 and 1999."
How many Bergen County residents identified as Guatemalan in 2020?,"In 2020, approximately 6,700 Bergen County residents identified as Guatemalan."
What was the percentage of Bergen County's population aged 55-64 in 2000?,"In 2000, 10% of Bergen County's population was aged 55-64."
How many Bergen County residents identified as Arab in 1990?,"In 1990, approximately 10,000 Bergen County residents identified as Arab."
What percentage of Bergen County's population identified as German in 1960?,"In 1960, approximately 18% of Bergen County's population identified as German."
How many Bergen County residents were aged 45-54 in 1990?,"In 1990, approximately 130,000 Bergen County residents were aged 45-54."
What was the percentage of Bergen County's workforce employed in transportation in 1970?,"In 1970, 7% of Bergen County's workforce was employed in transportation."
How many Bergen County residents identified as Armenian in 1990?,"In 1990, around 6,000 Bergen County residents identified as Armenian."
What percentage of Bergen County's housing units were built between 1920 and 1939?,"In 2020, approximately 20% of Bergen County's housing units were built between 1920 and 1939."
How many Bergen County residents identified as Colombian in 2010?,"In 2010, approximately 10,500 Bergen County residents identified as Colombian."
What was the median household income in Bergen County in 1988?,"In 1988, the median household income in Bergen County was $42,000."
How many Bergen County residents identified as Croatian in 2020?,"In 2020, around 1,800 Bergen County residents identified as Croatian."
What percentage of Bergen County residents lived in owner-occupied housing in 1980?,"In 1980, 68% of Bergen County residents lived in owner-occupied housing."
How many Bergen County residents were aged 80 and older in 1990?,"In 1990, approximately 50,000 Bergen County residents were aged 80 and older."
What was the percentage of Bergen County's workforce employed in administrative support in 2000?,"In 2000, 20% of Bergen County's workforce was employed in administrative support."
"How many Bergen County households had annual incomes above $100,000 in 1995?","In 1995, approximately 18% of Bergen County households had annual incomes above $100,000."
What was the percentage of Bergen County's population aged 0-4 in 1960?,"In 1960, 7% of Bergen County's population was aged 0-4."
How many Bergen County residents identified as Salvadoran in 1990?,"In 1990, approximately 2,000 Bergen County residents identified as Salvadoran."
What was the median value of owner-occupied homes in Bergen County in 1975?,"In 1975, the median value of owner-occupied homes in Bergen County was $42,000."
How many Bergen County residents identified as Pakistani in 1990?,"In 1990, around 2,000 Bergen County residents identified as Pakistani."
What was the percentage of Bergen County's population with less than a high school diploma in 1980?,"In 1980, 25% of Bergen County's population aged 25 and older had less than a high school diploma."
How many Bergen County residents were employed in the utilities sector in 2000?,"In 2000, approximately 2,500 Bergen County residents were employed in the utilities sector."
What percentage of Bergen County's workforce used carpools in 1970?,"In 1970, 15% of Bergen County's workforce used carpools."
How many Bergen County residents identified as Ethiopian in 2020?,"In 2020, approximately 1,200 Bergen County residents identified as Ethiopian."
What was the percentage of Bergen County residents aged 5-19 in 1970?,"In 1970, 26% of Bergen County residents were aged 5-19."
How many Bergen County households had central heating in 1980?,"In 1980, approximately 90% of Bergen County households had central heating."
What percentage of Bergen County's housing units were built after 2010?,"In 2020, approximately 5% of Bergen County's housing units were built after 2010."
How many Bergen County residents identified as Haitian in 2020?,"In 2020, around 4,500 Bergen County residents identified as Haitian."
What was the average family size in Bergen County in 1960?,"In 1960, the average family size in Bergen County was 3.7 persons."
What percentage of Bergen County's workforce was employed in public administration in 1990?,"In 1990, 5% of Bergen County's workforce was employed in public administration."
How many Bergen County residents identified as Venezuelan in 2010?,"In 2010, around 2,000 Bergen County residents identified as Venezuelan."
What percentage of Bergen County residents aged 25-34 were married in 1980?,"In 1980, 55% of Bergen County residents aged 25-34 were married."
How many Bergen County residents identified as Hungarian in 1990?,"In 1990, approximately 4,000 Bergen County residents identified as Hungarian."
"What was the percentage of Bergen County households with incomes between $50,000 and $74,999 in 1995?","In 1995, 22% of Bergen County households had incomes between $50,000 and $74,999."
How many Bergen County residents worked in the finance sector in 1970?,"In 1970, approximately 10,000 Bergen County residents worked in the finance sector."
What was the percentage of Bergen County's population that identified as Catholic in 1980?,"In 1980, approximately 40% of Bergen County's population identified as Catholic."
How many Bergen County residents were aged 65 and older in 1985?,"In 1985, approximately 95,000 Bergen County residents were aged 65 and older."
What percentage of Bergen County's population was foreign-born in 1970?,"In 1970, 9% of Bergen County's population was foreign-born."
How many Bergen County households were renter-occupied in 1950?,"In 1950, around 30% of Bergen County households were renter-occupied."
What percentage of Bergen County housing units had four or more bedrooms in 2010?,"In 2010, 25% of Bergen County housing units had four or more bedrooms."
How many Bergen County residents identified as Israeli in 2020?,"In 2020, approximately 2,000 Bergen County residents identified as Israeli."
What was the unemployment rate in Bergen County in 1982?,"In 1982, the unemployment rate in Bergen County was 7.8%."
How many Bergen County residents identified as Lebanese in 1990?,"In 1990, approximately 3,500 Bergen County residents identified as Lebanese."
What percentage of Bergen County residents aged 45-54 were in the labor force in 2010?,"In 2010, 85% of Bergen County residents aged 45-54 were in the labor force."
What percentage of Bergen County residents identified as Scandinavian in 1980?,"In 1980, approximately 1.5% of Bergen County residents identified as Scandinavian."
How many Bergen County households had no heating equipment in 1970?,"In 1970, approximately 5% of Bergen County households had no heating equipment."
What was the median household income in Bergen County in 1965?,"In 1965, the median household income in Bergen County was $8,200."
How many Bergen County residents identified as Austrian in 1990?,"In 1990, approximately 3,000 Bergen County residents identified as Austrian."
What percentage of Bergen County's population was aged 30-39 in 1985?,"In 1985, 12% of Bergen County's population was aged 30-39."
How many Bergen County residents worked in the mining industry in 1980?,"In 1980, fewer than 500 Bergen County residents worked in the mining industry."
What was the unemployment rate in Bergen County in 1975?,"In 1975, the unemployment rate in Bergen County was 6.2%."
How many Bergen County residents identified as Portuguese in 1990?,"In 1990, approximately 7,000 Bergen County residents identified as Portuguese."
What percentage of Bergen County's population was aged 15-24 in 1990?,"In 1990, 13% of Bergen County's population was aged 15-24."
How many Bergen County residents were employed in the legal sector in 2010?,"In 2010, approximately 3,500 Bergen County residents were employed in the legal sector."
What percentage of Bergen County households had three or more vehicles in 1980?,"In 1980, 12% of Bergen County households had three or more vehicles."
How many Bergen County residents identified as Bangladeshi in 2020?,"In 2020, approximately 4,200 Bergen County residents identified as Bangladeshi."
What was the percentage of Bergen County housing units with access to public sewer systems in 1990?,"In 1990, 85% of Bergen County housing units had access to public sewer systems."
How many Bergen County residents were aged 18-24 in 1980?,"In 1980, approximately 80,000 Bergen County residents were aged 18-24."
What was the percentage of Bergen County's population aged 55-64 in 2010?,"In 2010, 12% of Bergen County's population was aged 55-64."
"How many Bergen County households had incomes below $20,000 in 1990?","In 1990, approximately 15% of Bergen County households had incomes below $20,000."
What percentage of Bergen County's workforce was employed in technology in 2000?,"In 2000, 4% of Bergen County's workforce was employed in technology."
How many Bergen County residents identified as Swedish in 1980?,"In 1980, approximately 2,000 Bergen County residents identified as Swedish."
What was the average commute time for Bergen County residents in 1980?,"In 1980, the average commute time for Bergen County residents was 22 minutes."
How many Bergen County residents identified as Somali in 2020?,"In 2020, approximately 1,000 Bergen County residents identified as Somali."
What was the percentage of Bergen County residents aged 40-49 in 1980?,"In 1980, 15% of Bergen County residents were aged 40-49."
How many Bergen County residents identified as Polish in 2000?,"In 2000, approximately 55,000 Bergen County residents identified as Polish."
What percentage of Bergen County housing units used natural gas as a heating fuel in 1990?,"In 1990, 78% of Bergen County housing units used natural gas as a heating fuel."
How many Bergen County residents worked in the arts and entertainment industry in 2000?,"In 2000, around 5,000 Bergen County residents worked in the arts and entertainment industry."
What was the unemployment rate in Bergen County in 1991?,"In 1991, the unemployment rate in Bergen County was 7.5%."
How many Bergen County residents identified as Norwegian in 1980?,"In 1980, approximately 3,000 Bergen County residents identified as Norwegian."
What percentage of Bergen County's population was aged 25-44 in 1995?,"In 1995, 33% of Bergen County's population was aged 25-44."
"How many Bergen County households earned over $150,000 in 2005?","In 2005, approximately 20% of Bergen County households earned over $150,000."
What percentage of Bergen County residents worked from home in 2020?,"In 2020, 10% of Bergen County residents worked from home."
How many Bergen County residents identified as Romanian in 1990?,"In 1990, around 2,000 Bergen County residents identified as Romanian."
What percentage of Bergen County's population was aged 80 and older in 2010?,"In 2010, 4% of Bergen County's population was aged 80 and older."
How many Bergen County households were classified as low-income in 2000?,"In 2000, approximately 25% of Bergen County households were classified as low-income."
What percentage of Bergen County's workforce used bicycles to commute in 2020?,"In 2020, 1% of Bergen County's workforce used bicycles to commute."
How many Bergen County residents identified as Mexican in 1990?,"In 1990, approximately 5,000 Bergen County residents identified as Mexican."
What was the median rent for housing in Bergen County in 1985?,"In 1985, the median rent for housing in Bergen County was $500."
How many Bergen County residents identified as Lithuanian in 1980?,"In 1980, approximately 1,800 Bergen County residents identified as Lithuanian."
What percentage of Bergen County's housing units had five or more bedrooms in 2000?,"In 2000, 3% of Bergen County's housing units had five or more bedrooms."
How many Bergen County residents were employed in scientific research in 2015?,"In 2015, around 4,500 Bergen County residents were employed in scientific research."
What percentage of Bergen County's population aged 65 and older was female in 1990?,"In 1990, 60% of Bergen County's population aged 65 and older was female."
How many Bergen County residents identified as Afghani in 2020?,"In 2020, approximately 800 Bergen County residents identified as Afghani."
What percentage of Bergen County's population identified as French Canadian in 1980?,"In 1980, 2% of Bergen County's population identified as French Canadian."
How many Bergen County residents identified as Thai in 2020?,"In 2020, approximately 2,000 Bergen County residents identified as Thai."
What was the percentage of Bergen County's housing units built before 1900 in 1990?,"In 1990, 8% of Bergen County's housing units were built before 1900."
How many Bergen County residents were employed in environmental services in 2005?,"In 2005, around 1,200 Bergen County residents were employed in environmental services."
What was the median household income in Bergen County in 1940?,"In 1940, the median household income in Bergen County was $3,000."
How many Bergen County residents identified as Czech in 1990?,"In 1990, approximately 3,000 Bergen County residents identified as Czech."
What percentage of Bergen County's workforce was employed in telecommunications in 2000?,"In 2000, 3% of Bergen County's workforce was employed in telecommunications."
How many Bergen County residents identified as Kenyan in 2020?,"In 2020, around 1,100 Bergen County residents identified as Kenyan."
What was the percentage of Bergen County's population aged 10-19 in 1980?,"In 1980, 18% of Bergen County's population was aged 10-19."
How many Bergen County residents worked in personal care services in 2010?,"In 2010, approximately 5,000 Bergen County residents worked in personal care services."
"What percentage of Bergen County households had incomes exceeding $200,000 in 2010?","In 2010, 15% of Bergen County households had incomes exceeding $200,000."
How many Bergen County residents identified as Iranian in 1990?,"In 1990, approximately 1,500 Bergen County residents identified as Iranian."
What was the percentage of Bergen County housing units classified as single-family homes in 1950?,"In 1950, 70% of Bergen County housing units were classified as single-family homes."
How many Bergen County residents identified as Panamanian in 2020?,"In 2020, around 1,900 Bergen County residents identified as Panamanian."
What was the percentage of Bergen County's population aged 35-44 in 2010?,"In 2010, 14% of Bergen County's population was aged 35-44."
How many Bergen County residents identified as Welsh in 1980?,"In 1980, approximately 1,800 Bergen County residents identified as Welsh."
What percentage of Bergen County's population was employed in agriculture in 1940?,"In 1940, 5% of Bergen County's population was employed in agriculture."
How many Bergen County residents worked in religious organizations in 2020?,"In 2020, approximately 2,500 Bergen County residents worked in religious organizations."
"What was the percentage of Bergen County households with incomes below $10,000 in 1980?","In 1980, 20% of Bergen County households had incomes below $10,000."
How many Bergen County residents identified as Laotian in 2020?,"In 2020, approximately 1,000 Bergen County residents identified as Laotian."
What percentage of Bergen County's population identified as Cuban in 1970?,"In 1970, 1.2% of Bergen County's population identified as Cuban."
How many Bergen County residents identified as Finnish in 1990?,"In 1990, approximately 1,200 Bergen County residents identified as Finnish."
What percentage of Bergen County's housing units were duplexes in 2010?,"In 2010, 6% of Bergen County's housing units were classified as duplexes."
How many Bergen County residents worked in real estate services in 2005?,"In 2005, around 3,000 Bergen County residents worked in real estate services."
What was the percentage of Bergen County residents aged 50-59 in 1980?,"In 1980, 10% of Bergen County residents were aged 50-59."
How many Bergen County residents identified as Dominican in 2000?,"In 2000, approximately 8,500 Bergen County residents identified as Dominican."
What percentage of Bergen County's workforce worked in hospitality in 1990?,"In 1990, 7% of Bergen County's workforce was employed in hospitality."
"How many Bergen County households had incomes between $75,000 and $100,000 in 2010?","In 2010, around 18% of Bergen County households had incomes between $75,000 and $100,000."
What was the percentage of Bergen County's population with advanced degrees in 1985?,"In 1985, 9% of Bergen County's population aged 25+ had advanced degrees."
How many Bergen County residents identified as Egyptian in 1990?,"In 1990, approximately 2,200 Bergen County residents identified as Egyptian."
What percentage of Bergen County's households had at least one person under the age of 18 in 2000?,"In 2000, 35% of Bergen County households had at least one person under the age of 18."
How many Bergen County residents identified as Japanese in 1980?,"In 1980, around 3,000 Bergen County residents identified as Japanese."
What was the median household income for Bergen County in 1955?,"In 1955, the median household income for Bergen County was $5,200."
How many Bergen County residents identified as Colombian in 1970?,"In 1970, approximately 2,000 Bergen County residents identified as Colombian."
What percentage of Bergen County's population aged 25+ had only a high school diploma in 1990?,"In 1990, 30% of Bergen County's population aged 25+ had only a high school diploma."
How many Bergen County residents worked in the information technology sector in 2010?,"In 2010, approximately 6,000 Bergen County residents worked in the information technology sector."
What was the percentage of Bergen County households with broadband internet in 2005?,"In 2005, 75% of Bergen County households had broadband internet access."
How many Bergen County residents identified as Slovak in 1990?,"In 1990, approximately 3,500 Bergen County residents identified as Slovak."
What percentage of Bergen County's housing units had three or more bathrooms in 2020?,"In 2020, approximately 18% of Bergen County's housing units had three or more bathrooms."
How many Bergen County residents identified as Uzbek in 2020?,"In 2020, approximately 1,000 Bergen County residents identified as Uzbek."
What was the percentage of Bergen County residents who were self-employed in 1980?,"In 1980, 9% of Bergen County residents were self-employed."
How many Bergen County households used oil as the primary heating fuel in 1990?,"In 1990, approximately 15% of Bergen County households used oil as the primary heating fuel."
What percentage of Bergen County's workforce worked in transportation in 2000?,"In 2000, 6% of Bergen County's workforce was employed in transportation."
How many Bergen County residents identified as Turkish in 2010?,"In 2010, approximately 5,000 Bergen County residents identified as Turkish."
